# core width data from Keski-Rahkonen and Krause (1974)
# Z  Symbol  Edge  Core Width(eV)
 64    Gd    N6      0.0010
 64    Gd    N7      0.0010
 64    Gd    O1      0.1000
 64    Gd    O2      0.1000
 64    Gd    O3      0.1000
 65    Tb     K      27.3025
 65    Tb    L1      5.7212
 65    Tb    L2      4.5648
 65    Tb    L3      3.9008
 65    Tb    M1      14.1967
 65    Tb    M2      9.4249
 65    Tb    M3      9.4249
 65    Tb    M4      1.7145
 65    Tb    M5      1.2480
 65    Tb    N1      12.4131
 65    Tb    N2      7.9549
 65    Tb    N3      7.9549
 65    Tb    N4      2.5298
 65    Tb    N5      2.5298
 65    Tb    N6      0.0010
 65    Tb    N7      0.0010
 65    Tb    O1      0.1000
 65    Tb    O2      0.1000
 65    Tb    O3      0.1000
 66    Dy     K      28.7739
 66    Dy    L1      5.9163
 66    Dy    L2      4.6639
 66    Dy    L3      3.9863
 66    Dy    M1      14.6174
 66    Dy    M2      9.9231
 66    Dy    M3      9.9231
 66    Dy    M4      1.8517
 66    Dy    M5      1.3140
 66    Dy    N1      12.6249
 66    Dy    N2      8.7760
 66    Dy    N3      8.7760
 66    Dy    N4      3.1849
 66    Dy    N5      3.1849
 66    Dy    N6      0.0010
 66    Dy    N7      0.0010
 66    Dy    O1      0.1000
 66    Dy    O2      0.1000
 66    Dy    O3      0.1000
 67    Ho     K      30.3246
 67    Ho    L1      6.1180
 67    Ho    L2      4.7652
 67    Ho    L3      4.0736
 67    Ho    M1      15.0506
 67    Ho    M2      10.4477
 67    Ho    M3      10.4477
 67    Ho    M4      2.0000
 67    Ho    M5      1.3835
 67    Ho    N1      12.8404
 67    Ho    N2      9.6819
 67    Ho    N3      9.6819
 67    Ho    N4      4.0095
 67    Ho    N5      4.0095
 67    Ho    N6      0.0010
 67    Ho    N7      0.0010
 67    Ho    O1      0.1000
 67    Ho    O2      0.1000
 67    Ho    O3      0.1000
 68    Er     K      31.9589
 68    Er    L1      6.3266
 68    Er    L2      4.8686
 68    Er    L3      4.1629
 68    Er    M1      15.4965
 68    Er    M2      11.0000
 68    Er    M3      11.0000
 68    Er    M4      2.1601
 68    Er    M5      1.4566
 68    Er    N1      13.0595
 68    Er    N2      10.6812
 68    Er    N3      10.6812
 68    Er    N4      5.0477
 68    Er    N5      5.0477
 68    Er    N6      0.0010
 68    Er    N7      0.0010
 68    Er    O1      0.1000
 68    Er    O2      0.1000
 68    Er    O3      0.1000
 69    Tm     K      33.6813
 69    Tm    L1      6.5423
 69    Tm    L2      4.9743
 69    Tm    L3      4.2542
 69    Tm    M1      15.9557
 69    Tm    M2      11.2880
 69    Tm    M3      10.9130
 69    Tm    M4      2.3331
 69    Tm    M5      1.5337
 69    Tm    N1      13.2824
 69    Tm    N2      11.7837
 69    Tm    N3      11.7837
 69    Tm    N4      6.3546
 69    Tm    N5      6.3546
 69    Tm    N6      0.0010
 69    Tm    N7      0.0010
 69    Tm    O1      0.1000
 69    Tm    O2      0.1000
 69    Tm    O3      0.1000
 70    Yb     K      35.4965
 70    Yb    L1      6.7653
 70    Yb    L2      5.0823
